dept,grade,annual_salary,hourly_rate,grade_label
Department for International Development,eo,25260,15.45,EO
Department for International Development,aoaa,20690,12.65,AO/AA
Department for International Development,total,51500,31.49,Unknown
Ministry of Justice (excl. agencies),scs,81700,49.96,SCS
Ministry of Justice (excl. agencies),g6g7,58130,35.54,Grade 6/Grade 7
Ministry of Justice (excl. agencies),seoheo,36800,22.5,SEO/HEO
Ministry of Justice (excl. agencies),eo,26410,16.15,EO
Ministry of Justice (excl. agencies),aoaa,20120,12.3,AO/AA
Ministry of Justice (excl. agencies),total,36810,22.51,Unknown
Criminal Injuries Compensation Authority,scs,NA,NA,SCS
Criminal Injuries Compensation Authority,g6g7,58000,35.47,Grade 6/Grade 7
Criminal Injuries Compensation Authority,seoheo,29870,18.26,SEO/HEO
Criminal Injuries Compensation Authority,eo,22710,13.89,EO
Criminal Injuries Compensation Authority,aoaa,19970,12.21,AO/AA
Criminal Injuries Compensation Authority,total,22570,13.8,Unknown
Her Majesty's Courts and Tribunals Service,scs,80000,48.92,SCS
Her Majesty's Courts and Tribunals Service,g6g7,56270,34.41,Grade 6/Grade 7
Her Majesty's Courts and Tribunals Service,seoheo,33800,20.67,SEO/HEO
Her Majesty's Courts and Tribunals Service,eo,23970,14.66,EO
Her Majesty's Courts and Tribunals Service,aoaa,19930,12.19,AO/AA
Her Majesty's Courts and Tribunals Service,total,21170,12.94,Unknown
Legal Aid Agency,scs,74820,45.75,SCS
Legal Aid Agency,g6g7,56080,34.29,Grade 6/Grade 7
Legal Aid Agency,seoheo,35000,21.4,SEO/HEO
Legal Aid Agency,eo,22570,13.8,EO
Legal Aid Agency,aoaa,19930,12.19,AO/AA
Legal Aid Agency,total,22570,13.8,Unknown
Her Majesty's Prison and Probation Service,scs,94120,57.55,SCS
Her Majesty's Prison and Probation Service,g6g7,69810,42.69,Grade 6/Grade 7
Her Majesty's Prison and Probation Service,seoheo,37230,22.77,SEO/HEO
Her Majesty's Prison and Probation Service,eo,30840,18.86,EO
Her Majesty's Prison and Probation Service,aoaa,24780,15.15,AO/AA
Her Majesty's Prison and Probation Service,total,28660,17.52,Unknown
Office of the Public Guardian,scs,NA,NA,SCS
Office of the Public Guardian,g6g7,48350,29.56,Grade 6/Grade 7
Office of the Public Guardian,seoheo,26560,16.24,SEO/HEO
Office of the Public Guardian,eo,22570,13.8,EO
Office of the Public Guardian,aoaa,19930,12.19,AO/AA
Office of the Public Guardian,total,19930,12.19,Unknown
The National Archives,scs,89200,54.54,SCS
The National Archives,g6g7,50000,30.57,Grade 6/Grade 7
The National Archives,seoheo,33260,20.34,SEO/HEO
